frame,head_x,head_y,head_z,right_x,right_y,right_z,raw_x,raw_y,raw_z
1,-0.03398688219323748,-0.0072697483625242965,1.0474055830865032,0.07132481339091863,-0.0399903494572767,-0.844787056255007,0.0,0.0,0.0
2,-0.03398688219323748,-0.0072697483625242965,1.0474055830865032,0.07132481339091863,-0.0399903494572767,-0.844787056255007,0.0,0.0,0.0
3,-0.03398688219323748,-0.0072697483625242965,1.0474055830865032,0.07132481339091863,-0.0399903494572767,-0.844787056255007,0.0,0.0,0.0
4,-0.03334687561445548,-0.01211554515796299,1.0480973934367441,0.07012922073338446,-0.04622153956453395,-0.8453288715250122,0.0,0.0,0.0
5,-0.03336162612483262,-0.012332423652484263,1.0482092161616696,0.06954215002693162,-0.04668779207323531,-0.8454624809608102,0.0,0.0,0.0
6,-0.03336162612483262,-0.012332423652484263,1.0482092161616696,0.06954215002693162,-0.04668779207323531,-0.8454624809608102,0.0,0.0,0.0
7,-0.03337609457496647,-0.012845122289126747,1.0486606375695988,0.2613832763922581,-0.10002011249877964,0.04894224431978883,0.23745854198932648,-0.04393517225980759,0.8848751187324524
8,-0.03337609457496647,-0.012845122289126747,1.0486606375695988,0.2613832763922581,-0.10002011249877964,0.04894224431978883,0.23745854198932648,-0.04393517225980759,0.8848751187324524
9,-0.03337609457496647,-0.012845122289126747,1.0486606375695988,0.2613832763922581,-0.10002011249877964,0.04894224431978883,0.23745854198932648,-0.04393517225980759,0.8848751187324524
10,-0.03337609457496647,-0.012845122289126747,1.0486606375695988,0.2613832763922581,-0.10002011249877964,0.04894224431978883,0.23745854198932648,-0.04393517225980759,0.8848751187324524
11,-0.03394687370731952,-0.015647662188902785,1.0509063601981001,0.2641418493564324,-0.09858387297187693,0.039748074687147195,0.24064013361930847,-0.046037666499614716,0.8810570240020752
12,-0.034149115782623515,-0.01639633747611991,1.0507488807230851,0.2653784171431162,-0.09590824049747759,0.04012828130468099,0.24064013361930847,-0.046037666499614716,0.8810570240020752
13,-0.0341733289271079,-0.0171282139882689,1.0510833033531526,0.26573614447766414,-0.09598695029471256,0.03789793151057835,0.24135668575763702,-0.04679953306913376,0.8798843026161194
14,-0.03433968879110005,-0.01735982925380177,1.0511293217585556,0.2668668831729192,-0.0960804040345854,0.038934030834203825,0.24185246229171753,-0.046396009624004364,0.8800550103187561
